time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965044,471000,0,0,0,0,1,2,251,13,0,1980-01-06T03:04:04,1601677917.904984,2020-10-03T01:31:57
315965059,471000,0,0,0,0,1,2,76,13,0,1980-01-06T03:04:19,1601677932.164101,2020-10-03T01:32:12
315965074,82000,0,0,0,0,1,2,142,13,0,1980-01-06T03:04:34,1601677945.321888,2020-10-03T01:32:25
315965086,82000,0,0,0,0,1,2,225,13,0,1980-01-06T03:04:46,1601677960.457248,2020-10-03T01:32:40
315965101,82000,0,0,0,0,1,2,47,13,0,1980-01-06T03:05:01,1601677974.897656,2020-10-03T01:32:54
315965115,692000,0,0,0,0,1,2,122,13,0,1980-01-06T03:05:15,1601677988.423285,2020-10-03T01:33:08
315965130,692000,0,0,0,0,1,2,198,13,0,1980-01-06T03:05:30,1601678002.767889,2020-10-03T01:33:22
315965145,302000,0,0,0,0,1,2,17,13,0,1980-01-06T03:05:45,1601678017.194404,2020-10-03T01:33:37
315965157,302000,0,0,0,0,1,2,94,13,0,1980-01-06T03:05:57,1601678032.1076238,2020-10-03T01:33:52
315965171,913000,0,0,0,0,1,2,173,13,0,1980-01-06T03:06:11,1601678046.2918918,2020-10-03T01:34:06
315965186,913000,0,0,0,0,1,2,254,13,0,1980-01-06T03:06:26,1601678061.03636,2020-10-03T01:34:21
315965201,522000,0,0,0,0,1,2,83,13,0,1980-01-06T03:06:41,1601678076.537673,2020-10-03T01:34:36
315965213,522000,0,0,0,0,1,2,158,13,0,1980-01-06T03:06:53,1601678088.87024,2020-10-03T01:34:48
315965228,132000,0,0,0,0,1,2,227,13,0,1980-01-06T03:07:08,1601678103.4527888,2020-10-03T01:35:03
315965240,132000,0,0,0,0,1,2,46,13,0,1980-01-06T03:07:20,1601678116.769785,2020-10-03T01:35:16
315964834,478000,0,0,0,0,1,2,116,13,0,1980-01-06T03:00:34,1601678129.255501,2020-10-03T01:35:29
315964846,478000,0,0,0,0,1,2,183,13,0,1980-01-06T03:00:46,1601678143.5810518,2020-10-03T01:35:43
