time_s,time_us,deg,seq,srcSystem,srcComponent,time_gregorian
1601805098,204500,4.666067123413086,123,13,0,2020-10-04T12:51:38
1601805099,204500,4.666067123413086,127,13,0,2020-10-04T12:51:39
1601805100,204500,5.228300094604492,132,13,0,2020-10-04T12:51:40
1601805101,204500,4.666067123413086,137,13,0,2020-10-04T12:51:41
1601805102,204500,4.478675842285156,141,13,0,2020-10-04T12:51:42
1601805103,204500,4.666067123413086,146,13,0,2020-10-04T12:51:43
1601805104,204500,5.04088020324707,151,13,0,2020-10-04T12:51:44
1601805105,204500,5.228300094604492,155,13,0,2020-10-04T12:51:45
1601805106,204500,5.04088020324707,160,13,0,2020-10-04T12:51:46
1601805107,204500,5.04088020324707,165,13,0,2020-10-04T12:51:47
1601805108,204500,5.603113174438477,169,13,0,2020-10-04T12:51:48
1601805109,204500,4.853488922119141,174,13,0,2020-10-04T12:51:49
1601805110,204500,5.04088020324707,179,13,0,2020-10-04T12:51:50
1601805111,204500,5.228300094604492,183,13,0,2020-10-04T12:51:51
1601805112,332500,4.853488922119141,188,13,0,2020-10-04T12:51:52
1601805113,332500,4.666067123413086,193,13,0,2020-10-04T12:51:53
1601805114,332500,4.853488922119141,197,13,0,2020-10-04T12:51:54
1601805115,332500,4.478675842285156,202,13,0,2020-10-04T12:51:55
1601805116,332500,5.228300094604492,207,13,0,2020-10-04T12:51:56
1601805117,332500,4.478675842285156,211,13,0,2020-10-04T12:51:57
1601805118,332500,4.478675842285156,216,13,0,2020-10-04T12:51:58
1601805119,332500,5.04088020324707,221,13,0,2020-10-04T12:51:59
1601805120,332500,4.666067123413086,225,13,0,2020-10-04T12:52:00
1601805121,332500,4.666067123413086,230,13,0,2020-10-04T12:52:01
1601805122,332500,5.04088020324707,235,13,0,2020-10-04T12:52:02
1601805123,332500,4.666067123413086,239,13,0,2020-10-04T12:52:03
1601805124,332500,4.853488922119141,244,13,0,2020-10-04T12:52:04
1601805125,332500,4.853488922119141,249,13,0,2020-10-04T12:52:05
1601805126,332500,4.478675842285156,253,13,0,2020-10-04T12:52:06
1601805127,332500,4.478675842285156,2,13,0,2020-10-04T12:52:07
1601805128,332500,4.853488922119141,7,13,0,2020-10-04T12:52:08
1601805129,332500,5.415721893310547,11,13,0,2020-10-04T12:52:09
1601805130,332500,4.478675842285156,16,13,0,2020-10-04T12:52:10
1601805131,332500,4.478675842285156,21,13,0,2020-10-04T12:52:11
1601805132,332500,4.853488922119141,25,13,0,2020-10-04T12:52:12
1601805133,332500,4.853488922119141,30,13,0,2020-10-04T12:52:13
1601805134,332500,5.415721893310547,35,13,0,2020-10-04T12:52:14
1601805135,332500,4.666067123413086,39,13,0,2020-10-04T12:52:15
1601805136,332500,5.04088020324707,44,13,0,2020-10-04T12:52:16
1601805137,332500,5.04088020324707,49,13,0,2020-10-04T12:52:17
1601805138,332500,5.04088020324707,53,13,0,2020-10-04T12:52:18
1601805139,332500,4.666067123413086,58,13,0,2020-10-04T12:52:19
1601805140,332500,5.04088020324707,63,13,0,2020-10-04T12:52:20
1601805141,332500,4.666067123413086,67,13,0,2020-10-04T12:52:21
1601805142,332500,5.228300094604492,72,13,0,2020-10-04T12:52:22
1601805143,518500,4.666067123413086,77,13,0,2020-10-04T12:52:23
1601805144,518500,5.04088020324707,81,13,0,2020-10-04T12:52:24
1601805145,518500,5.04088020324707,86,13,0,2020-10-04T12:52:25
1601805146,518500,5.04088020324707,91,13,0,2020-10-04T12:52:26
1601805147,518500,5.603113174438477,95,13,0,2020-10-04T12:52:27
1601805148,518500,4.853488922119141,100,13,0,2020-10-04T12:52:28
1601805149,518500,5.228300094604492,105,13,0,2020-10-04T12:52:29
1601805150,518500,5.228300094604492,109,13,0,2020-10-04T12:52:30
1601805151,518500,5.415721893310547,114,13,0,2020-10-04T12:52:31
1601805152,518500,5.603113174438477,119,13,0,2020-10-04T12:52:32
1601805153,518500,5.415721893310547,123,13,0,2020-10-04T12:52:33
1601805154,518500,5.04088020324707,128,13,0,2020-10-04T12:52:34
1601805155,518500,5.228300094604492,133,13,0,2020-10-04T12:52:35
1601805156,518500,5.04088020324707,137,13,0,2020-10-04T12:52:36
1601805157,518500,5.603113174438477,142,13,0,2020-10-04T12:52:37
