time_s,time_us,o2_conc,seq,srcSystem,srcComponent,time_gregorian
1601800190,644000,18.71036720275879,242,13,0,2020-10-04T11:29:50
1601800191,644000,18.373241424560547,247,13,0,2020-10-04T11:29:51
1601800192,644000,18.345149993896484,252,13,0,2020-10-04T11:29:52
1601800193,644000,18.71036720275879,0,13,0,2020-10-04T11:29:53
1601800194,644000,18.71036720275879,5,13,0,2020-10-04T11:29:54
1601800195,644000,18.17658805847168,10,13,0,2020-10-04T11:29:55
1601800196,644000,18.56989860534668,14,13,0,2020-10-04T11:29:56
1601800197,644000,18.71036720275879,19,13,0,2020-10-04T11:29:57
1601800198,644000,18.72441291809082,24,13,0,2020-10-04T11:29:58
1601800199,644000,18.71036720275879,28,13,0,2020-10-04T11:29:59
1601800200,644000,18.331100463867188,33,13,0,2020-10-04T11:30:00
1601800201,264000,18.513710021972656,38,13,0,2020-10-04T11:30:01
1601800202,264000,18.72441291809082,42,13,0,2020-10-04T11:30:02
1601800203,264000,18.72441291809082,47,13,0,2020-10-04T11:30:03
1601800204,264000,18.27491569519043,52,13,0,2020-10-04T11:30:04
1601800205,264000,18.162540435791016,56,13,0,2020-10-04T11:30:05
1601800206,264000,18.738460540771484,61,13,0,2020-10-04T11:30:06
1601800207,264000,18.738460540771484,66,13,0,2020-10-04T11:30:07
1601800208,264000,18.72441291809082,70,13,0,2020-10-04T11:30:08
1601800209,264000,18.41538429260254,75,13,0,2020-10-04T11:30:09
1601800210,264000,18.696317672729492,80,13,0,2020-10-04T11:30:10
1601800211,264000,18.75250816345215,84,13,0,2020-10-04T11:30:11
1601800212,264000,18.738460540771484,89,13,0,2020-10-04T11:30:12
1601800213,264000,18.373241424560547,94,13,0,2020-10-04T11:30:13
1601800214,264000,18.28896141052246,98,13,0,2020-10-04T11:30:14
1601800215,264000,18.75250816345215,103,13,0,2020-10-04T11:30:15
1601800216,264000,18.75250816345215,108,13,0,2020-10-04T11:30:16
1601800217,264000,18.23277473449707,112,13,0,2020-10-04T11:30:17
1601800218,264000,18.331100463867188,117,13,0,2020-10-04T11:30:18
1601800219,264000,18.766551971435547,122,13,0,2020-10-04T11:30:19
1601800220,264000,18.780601501464844,126,13,0,2020-10-04T11:30:20
1601800221,264000,18.75250816345215,131,13,0,2020-10-04T11:30:21
1601800222,264000,18.41538429260254,136,13,0,2020-10-04T11:30:22
1601800223,264000,18.246822357177734,140,13,0,2020-10-04T11:30:23
1601800224,264000,18.75250816345215,145,13,0,2020-10-04T11:30:24
1601800225,264000,18.766551971435547,150,13,0,2020-10-04T11:30:25
1601800226,264000,18.28896141052246,154,13,0,2020-10-04T11:30:26
1601800227,264000,18.513710021972656,159,13,0,2020-10-04T11:30:27
1601800228,264000,18.204681396484375,164,13,0,2020-10-04T11:30:28
1601800229,264000,18.780601501464844,168,13,0,2020-10-04T11:30:29
1601800230,264000,18.766551971435547,173,13,0,2020-10-04T11:30:30
1601800231,264000,18.23277473449707,178,13,0,2020-10-04T11:30:31
1601800231,884000,18.31705665588379,182,13,0,2020-10-04T11:30:31
1601800232,884000,18.597991943359375,187,13,0,2020-10-04T11:30:32
1601800233,884000,18.780601501464844,192,13,0,2020-10-04T11:30:33
1601800234,884000,18.780601501464844,196,13,0,2020-10-04T11:30:34
1601800235,884000,18.429431915283203,201,13,0,2020-10-04T11:30:35
1601800236,884000,18.38728904724121,206,13,0,2020-10-04T11:30:36
1601800237,884000,18.780601501464844,210,13,0,2020-10-04T11:30:37
1601800238,884000,18.780601501464844,215,13,0,2020-10-04T11:30:38
1601800239,884000,18.429431915283203,220,13,0,2020-10-04T11:30:39
1601800240,884000,18.52775764465332,224,13,0,2020-10-04T11:30:40
1601800241,884000,18.14849281311035,229,13,0,2020-10-04T11:30:41
1601800242,884000,18.780601501464844,234,13,0,2020-10-04T11:30:42
1601800243,884000,18.794645309448242,238,13,0,2020-10-04T11:30:43
1601800244,884000,18.58394432067871,243,13,0,2020-10-04T11:30:44
1601800245,884000,18.48561668395996,248,13,0,2020-10-04T11:30:45
1601800246,884000,18.8367862701416,252,13,0,2020-10-04T11:30:46
1601800247,884000,18.794645309448242,1,13,0,2020-10-04T11:30:47
1601800248,884000,18.808692932128906,6,13,0,2020-10-04T11:30:48
1601800249,884000,18.345149993896484,10,13,0,2020-10-04T11:30:49
1601800250,884000,18.52775764465332,15,13,0,2020-10-04T11:30:50
1601800251,884000,18.808692932128906,20,13,0,2020-10-04T11:30:51
1601800252,884000,18.808692932128906,24,13,0,2020-10-04T11:30:52
