time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian
1601800835,516000,0,0,0,0,1,2,217,13,0,2020-10-04T11:40:35
1601800838,516000,0,0,0,0,1,2,231,13,0,2020-10-04T11:40:38
1601800841,516000,0,0,0,0,1,2,245,13,0,2020-10-04T11:40:41
1601800844,138000,0,0,0,0,1,2,3,13,0,2020-10-04T11:40:44
1601800847,138000,0,0,0,0,1,2,17,13,0,2020-10-04T11:40:47
1601800850,138000,0,0,0,0,1,2,31,13,0,2020-10-04T11:40:50
1601800853,138000,0,0,0,0,1,2,45,13,0,2020-10-04T11:40:53
1601800856,138000,0,0,0,0,1,2,59,13,0,2020-10-04T11:40:56
1601800859,138000,0,0,0,0,1,2,73,13,0,2020-10-04T11:40:59
1601800862,138000,0,0,0,0,1,2,87,13,0,2020-10-04T11:41:02
1601800865,138000,0,0,0,0,1,2,101,13,0,2020-10-04T11:41:05
1601800868,138000,0,0,0,0,1,2,115,13,0,2020-10-04T11:41:08
1601800871,138000,0,0,0,0,1,2,129,13,0,2020-10-04T11:41:11
1601800873,757000,0,0,0,0,1,2,143,13,0,2020-10-04T11:41:13
1601800876,757000,0,0,0,0,1,2,157,13,0,2020-10-04T11:41:16
1601800879,757000,0,0,0,0,1,2,171,13,0,2020-10-04T11:41:19
1601800882,757000,0,0,0,0,1,2,185,13,0,2020-10-04T11:41:22
1601800885,757000,0,0,0,0,1,2,199,13,0,2020-10-04T11:41:25
1601800888,757000,0,0,0,0,1,2,213,13,0,2020-10-04T11:41:28
1601800891,757000,0,0,0,0,1,2,227,13,0,2020-10-04T11:41:31
1601800894,757000,0,0,0,0,1,2,241,13,0,2020-10-04T11:41:34
1601800897,757000,0,0,0,0,1,2,255,13,0,2020-10-04T11:41:37
1601800900,757000,0,0,0,0,1,2,13,13,0,2020-10-04T11:41:40
1601800903,378000,0,0,0,0,1,2,27,13,0,2020-10-04T11:41:43
1601800906,378000,0,0,0,0,1,2,41,13,0,2020-10-04T11:41:46
1601800909,378000,0,0,0,0,1,2,55,13,0,2020-10-04T11:41:49
1601800912,378000,0,0,0,0,1,2,69,13,0,2020-10-04T11:41:52
1601800915,378000,0,0,0,0,1,2,83,13,0,2020-10-04T11:41:55
1601800918,378000,0,0,0,0,1,2,97,13,0,2020-10-04T11:41:58
1601800921,378000,0,0,0,0,1,2,111,13,0,2020-10-04T11:42:01
1601800924,378000,0,0,0,0,1,2,125,13,0,2020-10-04T11:42:04
1601800927,378000,0,0,0,0,1,2,139,13,0,2020-10-04T11:42:07
1601800930,378000,0,0,0,0,1,2,153,13,0,2020-10-04T11:42:10
1601800933,378000,0,0,0,0,1,2,167,13,0,2020-10-04T11:42:13
1601800935,996000,0,0,0,0,1,2,181,13,0,2020-10-04T11:42:15
1601800938,996000,0,0,0,0,1,2,195,13,0,2020-10-04T11:42:18
1601800941,996000,0,0,0,0,1,2,209,13,0,2020-10-04T11:42:21
